//Main Deck
3 (NB01-04-B)
3 (NB01-05-B)
3 (NB01-09-B)
3 (NB02-37-B)
3 (NB02-40-B)
3 (NB02-42-A)
3 (NB03-03-B)
3 (NB01-01-B)
3 (NB03-01-B)
3 (NB01-11-B)
3 (NB01-14-B)
3 (NB01-18-B)
3 (NB02-02-B)
3 (NB03-13-B)
3 (NB03-17-B)
3 (NB03-14-B)
2 (NB02-41-A)
//Extra Deck
1 (NB01-19-EB)
1 (NB01-20-EB)
1 (NB02-47-EB)
1 (NB01-22-EB)
1 (NB02-20-EB)
1 (NB03-24-EB)
